ST	ICL1	MDR1	SAPT2	SAPT4	XYR1	ZWF1a	clonal_complex
615	9	76	12	80	9	47	
639	1	150	2	13	56	1	
662	1	7	3	10	6	6	
663	1	7	3	17	16	3	
664	1	22	12	17	8	7	
665	1	22	12	17	134	7	
666	1	32	12	23	55	1	
667	5	89	3	3	118	2	
668	5	54	45	47	3	22	
669	16	142	4	20	132	1	
670	1	24	3	7	17	6	
671	39	143	47	7	88	29	
672	1	1	10	1	31	1	
673	1	17	48	14	65	3	
674	5	33	4	34	2	9	
675	3	7	4	6	6	7	
676	5	33	4	34	51	9	
677	1	1	10	1	6	1	
678	1	3	3	17	57	7	
679	1	3	3	17	6	3	
680	1	4	3	23	13	2	
681	1	7	1	6	11	4	
682	1	7	3	6	52	4	
683	1	7	3	9	52	4	
684	1	7	4	6	11	4	
685	1	22	12	17	2	7	
686	1	22	12	17	2	22	
687	1	34	3	13	2	2	
688	1	42	1	23	16	1	
689	1	42	1	23	54	1	
690	1	42	4	23	16	1	
691	1	50	3	10	54	1	
692	1	67	3	19	2	1	
693	1	96	34	7	92	34	
694	1	117	3	7	9	3	
695	1	7	4	17	11	3	
696	1	7	4	17	22	4	
697	1	42	1	14	54	3	
698	1	67	3	19	2	3	
699	1	7	3	44	11	4	
700	3	7	1	7	35	4	
701	1	42	4	23	9	1	
702	1	1	10	21	6	1	
703	1	1	3	23	6	1	
704	1	7	46	10	2	1	
705	1	22	12	78	60	22	
706	1	31	3	75	9	1	
707	1	42	1	74	16	1	
708	1	46	12	76	60	9	
709	1	69	3	77	135	1	
710	1	116	10	77	6	1	
711	1	139	4	17	6	3	
712	1	140	3	23	132	7	
713	1	141	3	8	3	1	
714	3	137	1	10	27	6	
715	5	141	1	10	2	32	
716	9	90	49	7	62	3	
717	25	138	50	7	6	3	
718	28	136	4	7	92	7	
719	31	131	1	15	6	3	
720	36	135	3	19	8	46	
721	36	135	3	19	85	8	
722	1	56	4	59	60	1	
723	5	117	3	7	48	21	
724	1	44	12	7	94	2	
725	1	94	3	10	137	3	
726	1	3	3	10	9	3	
727	1	22	12	17	60	9	
728	1	22	52	3	9	44	
729	5	131	1	81	24	1	
730	3	149	1	10	1	22	
731	3	148	12	11	74	1	
732	3	147	1	23	48	7	
733	1	3	3	7	92	7	
734	1	40	46	7	2	3	
735	1	42	3	74	85	1	
736	1	42	4	74	36	1	
737	1	122	46	7	36	3	
738	1	44	5	17	132	3	
739	19	145	42	7	85	1	
740	19	7	42	7	85	1	
741	19	69	42	5	85	1	
742	19	69	42	7	85	1	
743	5	69	1	34	51	9	
744	26	7	22	52	3	22	
745	2	20	4	10	19	5	
746	2	20	4	10	95	5	
747	17	93	29	83	138	30	
748	17	93	29	82	138	30	
749	17	93	53	83	138	30	
750	1	17	2	14	53	3	
751	1	7	3	10	9	3	
752	9	151	3	3	54	1	
753	9	7	3	46	48	22	
754	26	7	12	46	119	22	
755	9	7	12	52	119	48	
756	9	7	12	52	4	22	
757	1	32	3	23	36	9	
758	1	7	22	52	48	22	
759	17	93	29	83	2	30	
760	1	92	1	61	9	5	
761	2	20	5	38	110	1	
762	19	27	4	36	50	10	
763	1	4	4	4	139	1	
764	1	7	4	3	14	7	
765	1	9	3	7	48	3	
766	1	128	3	84	1	1	
767	1	152	3	7	9	22	
768	3	3	4	9	47	20	
769	3	89	3	46	4	9	
770	5	89	3	3	140	2	
771	5	89	3	3	141	2	
772	5	89	3	3	142	2	
773	9	7	12	46	4	22	
774	9	120	3	50	143	3	
775	42	61	4	85	67	49	
776	1	7	12	36	54	3	
777	1	58	1	17	23	22	
778	3	7	54	6	60	4	
779	3	7	1	6	144	4	
780	1	7	1	6	145	4	
781	1	22	12	7	146	7	
782	1	34	3	7	147	22	
783	9	153	3	3	27	3	
784	3	60	55	19	123	3	
785	1	4	3	23	78	9	
786	3	154	3	23	48	22	
787	9	155	4	86	27	3	
788	22	156	4	33	3	1	
789	1	157	56	7	2	7	
790	1	32	3	17	54	50	
791	1	158	1	19	4	3	
792	1	81	22	87	36	9	
793	3	7	1	6	145	4	
794	43	3	3	17	16	3	
795	1	159	3	17	9	3	
796	1	4	22	88	36	9	
797	1	3	3	89	54	3	
798	1	160	3	17	54	3	
799	3	161	1	6	52	4	
800	1	22	57	90	148	1	
801	3	162	3	17	30	1	
802	3	7	1	6	149	4	
803	1	94	32	10	101	51	
804	1	7	12	17	60	52	
805	1	44	3	7	58	7	
806	1	44	12	17	61	22	
807	3	7	4	6	67	4	
808	1	7	2	14	100	7	
809	1	17	4	14	100	3	
810	26	54	4	3	70	9	
811	1	17	2	14	60	3	
812	23	20	1	17	74	7	
813	3	149	4	10	1	22	
814	1	66	3	23	1	3	
815	9	34	1	7	2	1	
816	1	34	4	10	9	3	
817	5	57	3	4	31	7	
818	5	152	3	11	68	3	
819	1	22	1	8	9	44	
820	1	152	3	17	9	3	
821	3	7	4	91	52	4	
822	1	163	1	92	1	3	
823	1	4	22	7	135	9	
824	1	49	22	93	135	9	
825	1	9	22	23	135	9	
826	44	111	39	33	31	7	
827	3	60	12	19	9	3	
828	1	7	1	94	48	22	
829	1	3	3	17	150	3	
830	1	3	3	17	151	3	
831	1	20	3	17	68	3	
832	1	4	22	23	114	9	
833	1	4	22	23	135	9	
834	1	4	22	23	135	2	
835	1	44	58	7	58	3	
836	1	22	3	4	1	3	
837	9	164	3	3	4	9	
838	1	7	12	52	119	22	
839	5	57	3	4	59	7	
840	1	3	3	7	54	3	
841	5	57	3	10	50	4	
842	1	4	1	4	27	1	
843	1	7	3	3	54	1	
844	10	61	3	11	68	3	
845	1	3	3	10	48	3	
846	1	117	1	7	152	1	
847	1	44	22	7	94	22	
848	1	117	1	7	74	1	
849	1	7	12	46	48	22	
850	10	7	1	44	52	10	
851	45	7	3	3	54	1	
852	1	7	3	10	153	53	
853	1	4	22	93	36	9	
854	5	57	3	10	50	7	
855	9	7	12	46	48	48	
856	1	165	1	3	2	9	
857	1	7	3	95	6	3	
858	1	3	3	14	54	3	
859	1	3	3	14	16	3	
860	3	7	4	91	6	10	
861	2	18	4	10	25	5	
862	1	1	10	1	80	1	
863	2	20	4	10	25	1	
864	16	18	4	10	25	5	
865	1	166	1	68	24	3	
866	1	22	12	14	146	7	
867	1	44	3	7	154	3	
868	1	7	12	96	119	22	
869	1	44	12	7	155	22	
870	1	4	22	7	135	1	
871	1	32	3	14	54	3	
872	1	127	12	21	57	7	
873	1	7	1	7	156	3	
874	36	101	1	14	23	54	
875	3	7	1	91	52	4	
876	3	60	41	19	9	3	
877	1	7	1	97	48	22	
878	44	111	39	38	31	7	
879	9	7	3	46	119	22	
880	1	4	12	23	55	9	
881	5	22	4	7	10	55	
882	1	54	3	98	24	22	
883	1	69	1	7	3	1	
884	1	7	4	91	52	4	
885	3	3	3	17	54	3	
886	7	167	3	99	5	1	
887	3	168	1	10	114	7	
888	3	172	4	100	158	60	
889	3	173	1	10	2	32	
890	5	169	1	13	118	2	
891	5	171	4	7	1	9	
892	9	7	3	3	1	1	
893	9	7	1	7	30	9	
894	9	34	1	3	121	3	
895	9	76	22	80	9	47	
896	9	170	1	23	157	1	
897	10	89	3	3	118	2	
898	1	61	3	11	68	2	
899	1	22	1	3	1	3	
900	1	17	1	14	68	7	
